,0,1
START这个,26.0,58.0
这个,630.0,629.0
这个宾馆,7.0,19.0
宾馆,292.0,353.0
宾馆比较,0.0,3.0
比较,1125.0,558.0
比较陈旧,20.0,8.0
陈旧,74.0,144.0
陈旧了,10.0,12.0
了,6443.0,6882.0
了，,1243.0,1421.0
，,29455.0,23601.0
，特价,1.0,0.0
特价,21.0,28.0
特价的,2.0,3.0
的,21196.0,15670.0
的房间,177.0,240.0
房间,1325.0,1752.0
房间也,47.0,34.0
也,3026.0,2132.0
也很,381.0,70.0
很,4039.0,1669.0
很一般,29.0,91.0
一般,360.0,502.0
一般。,36.0,59.0
。,11530.0,9053.0
。总体,52.0,12.0
总体,240.0,67.0
总体来说,62.0,18.0
来说,247.0,117.0
来说一般,1.0,0.0
一般END,3.0,9.0
END,4585.0,4561.0
START怀着,1.0,3.0
怀着,7.0,4.0
怀着十分,0.0,1.0
十分,76.0,42.0
十分激动,0.0,1.0
激动,6.0,4.0
激动的,1.0,1.0
的心情,24.0,19.0
心情,67.0,62.0
心情放映,0.0,1.0
放映,0.0,2.0
放映，,0.0,1.0
，可是,76.0,107.0
可是,127.0,193.0
可是看着,0.0,1.0
看着,88.0,55.0
看着看着,4.0,5.0
看着发现,0.0,1.0
发现,292.0,389.0
发现，,27.0,31.0
，在,303.0,183.0
在,2522.0,2011.0
在放映,0.0,1.0
放映完毕,0.0,1.0
完毕,7.0,7.0
完毕后,0.0,4.0
后,420.0,537.0
后，,123.0,136.0
，出现,0.0,6.0
出现,62.0,84.0
出现一集,0.0,1.0
一集,3.0,2.0
一集米老鼠,0.0,1.0
米老鼠,0.0,5.0
米老鼠的,0.0,1.0
的动画片,1.0,1.0
动画片,4.0,3.0
动画片！,0.0,1.0
！,2232.0,3179.0
！开始,0.0,1.0
开始,245.0,151.0
开始还,7.0,8.0
还,1532.0,1236.0
还怀疑,0.0,1.0
怀疑,22.0,53.0
怀疑是不是,2.0,7.0
是不是,63.0,106.0
是不是赠送,0.0,1.0
赠送,35.0,26.0
赠送的,11.0,5.0
的个别现象,0.0,1.0
个别现象,0.0,2.0
个别现象，,0.0,2.0
可是后来,1.0,2.0
后来,133.0,217.0
后来发现,6.0,6.0
发现每张,0.0,1.0
每张,0.0,4.0
每张DVD,0.0,2.0
DVD,20.0,14.0
DVD后面,0.0,2.0
后面,53.0,64.0
后面都,1.0,1.0
都,2244.0,1857.0
都有,171.0,98.0
有,2339.0,1663.0
有！,2.0,3.0
！真不知道,0.0,1.0
真不知道,1.0,27.0
真不知道生产商,0.0,1.0
生产商,1.0,1.0
生产商怎么,0.0,1.0
怎么,137.0,320.0
怎么想,3.0,4.0
想,282.0,262.0
想的,12.0,7.0
的，,1451.0,1194.0
，我想,52.0,24.0
我想,126.0,87.0
我想看,1.0,1.0
看,1213.0,833.0
看的,88.0,42.0
的是,437.0,406.0
是,4770.0,4416.0
是猫和老鼠,0.0,1.0
猫和老鼠,1.0,4.0
猫和老鼠，,1.0,3.0
，不是,57.0,60.0
不是,521.0,604.0
不是米老鼠,0.0,1.0
米老鼠！,0.0,1.0
！如果,5.0,5.0
如果,379.0,337.0
如果厂家,0.0,1.0
厂家,2.0,12.0
厂家是,0.0,1.0
是想,8.0,16.0
想赠送,0.0,1.0
赠送的话,0.0,1.0
的话,157.0,141.0
的话，,78.0,60.0
，那,91.0,69.0
那,242.0,229.0
那就,15.0,18.0
就,1720.0,1944.0
就全套,0.0,1.0
全套,9.0,9.0
全套米老鼠,0.0,1.0
米老鼠和,0.0,1.0
和,1710.0,1134.0
和唐老鸭,0.0,1.0
唐老鸭,0.0,3.0
唐老鸭都,0.0,1.0
都赠送,2.0,1.0
赠送，,3.0,3.0
，只,20.0,44.0
只,124.0,182.0
只在,3.0,5.0
在每张,0.0,1.0
后面添加,0.0,1.0
添加,6.0,7.0
添加一集,0.0,1.0
一集算,0.0,1.0
算,70.0,41.0
算什么,0.0,3.0
什么,397.0,635.0
什么？,10.0,14.0
？,348.0,931.0
？？,43.0,271.0
？简直,0.0,1.0
简直,35.0,143.0
简直是,8.0,38.0
是画蛇添足,0.0,1.0
画蛇添足,0.0,1.0
画蛇添足！,0.0,1.0
！！,401.0,974.0
！END,637.0,677.0
START还,23.0,9.0
还稍微,0.0,0.0
稍微,42.0,51.0
稍微重了,0.0,5.0
重了,0.0,16.0
重了点,0.0,8.0
点,194.0,285.0
点，,54.0,75.0
，可能,67.0,78.0
可能,262.0,292.0
可能是,57.0,90.0
是硬盘,5.0,6.0
硬盘,136.0,122.0
硬盘大,1.0,0.0
大,405.0,382.0
大的,32.0,26.0
的原故,0.0,0.0
原故,0.0,0.0
原故，,0.0,0.0
，还要,6.0,24.0
还要,52.0,134.0
还要再轻,0.0,0.0
再轻,0.0,1.0
再轻半斤,0.0,0.0
半斤,0.0,0.0
半斤就,0.0,0.0
就好,33.0,88.0
好,1924.0,918.0
好了,62.0,108.0
了。,780.0,843.0
。其他,14.0,9.0
其他,244.0,230.0
其他要,0.0,1.0
要,696.0,860.0
要进一步,0.0,0.0
进一步,13.0,9.0
进一步验证,0.0,0.0
验证,7.0,0.0
验证。,0.0,0.0
。贴,0.0,0.0
贴,29.0,20.0
贴的,3.0,4.0
的几种,0.0,0.0
几种,3.0,2.0
几种膜,0.0,0.0
膜,9.0,12.0
膜气泡,0.0,0.0
气泡,1.0,1.0
气泡较,0.0,0.0
较,173.0,95.0
较多,10.0,9.0
多,470.0,325.0
多，,71.0,33.0
，用,92.0,55.0
用,655.0,655.0
用不了,3.0,7.0
